,S_1_COMID,S_1_unitarea,ID_t,lat_t,lon_t,order_t,AS1,IDS1,ID_s,lat_s,lon_s,AS2,IDS2,AINT,AP1,AP2,weight,AP2N
241,71028585,6.241354829974287,71028585,51.16759235209231,-115.57361832611845,51,6241353.64454044,51,4671.0,51.172,-115.5869,100194351.53098074,4671,6241353.644540432,0.9999999999999987,0.06229247007612565,1.0,0.08310930701579815
240,71028597,11.788642878306794,71028597,51.17700427742134,-115.61300336083103,50,11788643.770754583,50,4671.0,51.172,-115.5869,100194351.53098074,4671,11788643.770754587,1.0000000000000002,0.11765776803405392,1.0,0.15697652628617564
237,71028609,18.72742536069085,71028609,51.17266565685709,-115.64982568763249,49,18727424.708322335,49,4825.0,51.2265,-115.7701,100214991.20601718,4825,356747.24470439914,0.0190494555583963,0.00355981914892369,0.01904945555839631,0.0035598191489237445
233,71028609,18.72742536069085,71028609,51.17266565685709,-115.64982568763249,49,18727424.708322335,49,4826.0,51.2568,-115.6352,100210702.20009908,4826,640198.1456543864,0.03418506044613207,0.0063885207028691335,0.03418506044613209,0.00838779300559758
236,71028609,18.72742536069085,71028609,51.17266565685709,-115.64982568763249,49,18727424.708322335,49,4671.0,51.172,-115.5869,100194351.53098074,4671,14792079.495179558,0.7898619124393575,0.14763386627244904,0.789861912439358,0.19697000781911175
235,71028609,18.72742536069085,71028609,51.17266565685709,-115.64982568763249,49,18727424.708322335,49,4670.0,51.1418,-115.7216,100199934.00316706,4670,2938399.822783982,0.15690357155611354,0.029325366847957272,0.15690357155611362,0.029325366847956908
230,71028676,120.12561692984607,71028676,51.194884720286446,-115.75492915374124,48,120125630.93808413,48,4671.0,51.172,-115.5869,100194351.53098074,4671,754021.7722432752,0.006276943283086002,0.0075255916199041106,0.006276943283085993,0.010040486492986871
227,71028676,120.12561692984607,71028676,51.194884720286446,-115.75492915374124,48,120125630.93808413,48,4980.0,51.3112,-115.8188,100230093.82956983,4980,4090.4747432785325,3.4051640031650444e-05,4.081084419848924e-05,3.4051640031650396e-05,4.642066951868293e-05
232,71028676,120.12561692984607,71028676,51.194884720286446,-115.75492915374124,48,120125630.93808413,48,4825.0,51.2265,-115.7701,100214991.20601718,4825,68623531.45269932,0.5712646911138363,0.6847631340068309,0.5712646911138355,0.6847631340068413
228,71028676,120.12561692984607,71028676,51.194884720286446,-115.75492915374124,48,120125630.93808413,48,4669.0,51.1114,-115.8561,100190896.32779302,4669,3841607.1992032253,0.031979912773014194,0.038342876848158916,0.03197991277301415,0.04571504579952592
229,71028676,120.12561692984607,71028676,51.194884720286446,-115.75492915374124,48,120125630.93808413,48,4670.0,51.1418,-115.7216,100199934.00316706,4670,46526812.69766109,0.3873179465058728,0.4643397539183059,0.3873179465058723,0.4643397539183001
231,71028676,120.12561692984607,71028676,51.194884720286446,-115.75492915374124,48,120125630.93808413,48,4824.0,51.1961,-115.9049,100208757.4087252,4824,375567.34153408057,0.0031264546841602665,0.0037478495018378488,0.003126454684160262,0.003747849501837909
224,71028700,12.53572247848998,71028700,51.231533936002265,-115.83923518438783,47,12535728.618562233,47,4824.0,51.1961,-115.9049,100208757.4087252,4824,3899693.817748801,0.31108633063213764,0.03891569877314189,0.3110863306321377,0.038915698773142514
225,71028700,12.53572247848998,71028700,51.231533936002265,-115.83923518438783,47,12535728.618562233,47,4825.0,51.2265,-115.7701,100214991.20601718,4825,8636034.80081343,0.6889136693678622,0.08617507916614875,0.6889136693678624,0.08617507916615007
220,71028740,62.58661212739475,71028740,51.26779744981474,-115.89569548548282,46,62586609.34967241,46,4824.0,51.1961,-115.9049,100208757.4087252,4824,17347463.594426833,0.2771753219208005,0.17311324921105534,0.27717532192080063,0.1731132492110581
217,71028740,62.58661212739475,71028740,51.26779744981474,-115.89569548548282,46,62586609.34967241,46,4980.0,51.3112,-115.8188,100230093.82956983,4980,11527999.390737535,0.184192745229741,0.11501535068239706,0.18419274522974108,0.13082526687356844
216,71028740,62.58661212739475,71028740,51.26779744981474,-115.89569548548282,46,62586609.34967241,46,4979.0,51.2807,-115.9538,100222852.81220296,4979,31977035.28655518,0.5109245510952505,0.3190593201978951,0.5109245510952507,0.3190593201979031
218,71028740,62.58661212739475,71028740,51.26779744981474,-115.89569548548282,46,62586609.34967241,46,5134.0,51.3653,-116.0029,100233806.51057333,5134,552347.8673129173,0.008825336170984127,0.0055105945443132695,0.008825336170984131,0.005510594544313302
221,71028740,62.58661212739475,71028740,51.26779744981474,-115.89569548548282,46,62586609.34967241,46,4825.0,51.2265,-115.7701,100214991.20601718,4825,1181763.2106399068,0.018882045583223345,0.011792279741964899,0.01888204558322335,0.011792279741965079
213,71028852,113.253720010744,71028852,51.30871166714242,-116.01815839755173,45,113253757.45251617,45,5134.0,51.3653,-116.0029,100233806.51057333,5134,35143869.10800734,0.3103108444127524,0.35061892121497085,0.3103108444127525,0.35061892121497285
211,71028852,113.253720010744,71028852,51.30871166714242,-116.01815839755173,45,113253757.45251617,45,4979.0,51.2807,-115.9538,100222852.81220296,4979,45498408.41441718,0.4017386216390504,0.4539723938977456,0.4017386216390505,0.45397239389775695
212,71028852,113.253720010744,71028852,51.30871166714242,-116.01815839755173,45,113253757.45251617,45,5133.0,51.3346,-116.1379,100230637.07975683,5133,15922208.103682963,0.14058878452980828,0.158855700887276,0.1405887845298083,0.16561045452713127
210,71028852,113.253720010744,71028852,51.30871166714242,-116.01815839755173,45,113253757.45251617,45,4978.0,51.25,-116.0886,100220123.76089515,4978,16689271.826408671,0.1473617494183888,0.16652615462964188,0.14736174941838884,0.31483046798875686
209,71028904,28.68860144294877,71028904,51.35101469668545,-116.10112398373984,44,28688600.468099646,44,5289.0,51.4499,-116.0522,100244102.91919631,5289,239488.94570977052,0.008347878314108449,0.0023890576975167826,0.00834787831410845,0.002403026270704411
206,71028904,28.68860144294877,71028904,51.35101469668545,-116.10112398373984,44,28688600.468099646,44,5133.0,51.3346,-116.1379,100230637.07975683,5133,23399850.057151645,0.8156497589755611,0.23346005511799364,0.8156497589755614,0.2433870841654944
207,71028904,28.68860144294877,71028904,51.35101469668545,-116.10112398373984,44,28688600.468099646,44,5134.0,51.3653,-116.0029,100233806.51057333,5134,5049261.465238222,0.17600236271033018,0.050374835008441914,0.1760023627103302,0.050374835008442205
204,71028957,29.01825503149769,71028957,51.391795156906376,-116.12433098591546,43,29018257.702815287,43,5288.0,51.4191,-116.1875,100241287.56481984,5288,11614857.701818926,0.40026034025785356,0.11586899953084018,0.4002603402578534,0.1158689995308465
203,71028957,29.01825503149769,71028957,51.391795156906376,-116.12433098591546,43,29018257.702815287,43,5134.0,51.3653,-116.0029,100233806.51057333,5134,321583.84907356824,0.011082121206827965,0.0032083371895054733,0.01108212120682796,0.003208337189505492
202,71028957,29.01825503149769,71028957,51.391795156906376,-116.12433098591546,43,29018257.702815287,43,5133.0,51.3346,-116.1379,100230637.07975683,5133,10789686.745196218,0.3718240721306099,0.10764858988784545,0.37182407213060975,0.11222594972012613
205,71028957,29.01825503149769,71028957,51.391795156906376,-116.12433098591546,43,29018257.702815287,43,5289.0,51.4499,-116.0522,100244102.91919631,5289,6292129.4067265885,0.21683346640470907,0.06276807536298151,0.216833466404709,0.06313507380570046
197,71028974,13.984263472768145,71028974,51.43795268280193,-116.1526981687797,42,13984264.172342706,42,5133.0,51.3346,-116.1379,100230637.07975683,5133,63992.060546054985,0.004576004840684781,0.0006384481073899031,0.004576004840684781,0.0006655957618534394
