,S_1_COMID,S_1_unitarea,ID_t,lat_t,lon_t,order_t,AS1,IDS1,ID_s,lat_s,lon_s,AS2,IDS2,AINT,AP1,AP2,weight,AP2N
241,71028585,6.241354829974287,71028585,51.16759235209231,-115.57361832611845,51,6241353.64454029,51,4671.0,51.172,-115.5869,100194351.53098074,4671,6241353.644540285,0.9999999999999991,0.062292470076124186,1.0,0.08310930701579668
240,71028597,11.788642878306794,71028597,51.17700427742134,-115.61300336083103,50,11788643.770754505,50,4671.0,51.172,-115.5869,100194351.53098074,4671,11788643.770754505,1.0,0.1176577680340531,1.0,0.15697652628617548
237,71028609,18.72742536069085,71028609,51.17266565685709,-115.64982568763249,49,18727424.70832323,49,4825.0,51.2265,-115.7701,100214991.20601718,4825,356747.24470439914,0.019049455558395392,0.00355981914892369,0.019049455558395396,0.0035598191489237484
233,71028609,18.72742536069085,71028609,51.17266565685709,-115.64982568763249,49,18727424.70832323,49,4826.0,51.2568,-115.6352,100210702.20009908,4826,640198.1456544613,0.034185060446134445,0.006388520702869881,0.03418506044613445,0.008387793005598498
236,71028609,18.72742536069085,71028609,51.17266565685709,-115.64982568763249,49,18727424.70832323,49,4671.0,51.172,-115.5869,100194351.53098074,4671,14792079.495180158,0.7898619124393519,0.147633866272455,0.789861912439352,0.19697000781912086
235,71028609,18.72742536069085,71028609,51.17266565685709,-115.64982568763249,49,18727424.70832323,49,4670.0,51.1418,-115.7216,100199934.00316706,4670,2938399.8227842087,0.15690357155611814,0.029325366847959534,0.15690357155611817,0.02932536684795915
230,71028676,120.12561692984607,71028676,51.194884720286446,-115.75492915374124,48,120125630.93808687,48,4671.0,51.172,-115.5869,100194351.53098074,4671,754021.7722432752,0.006276943283085859,0.0075255916199041106,0.006276943283085856,0.010040486492986929
227,71028676,120.12561692984607,71028676,51.194884720286446,-115.75492915374124,48,120125630.93808687,48,4980.0,51.3112,-115.8188,100230093.82956983,4980,4090.4747432785325,3.4051640031649664e-05,4.081084419848924e-05,3.405164003164965e-05,4.6420669518682925e-05
232,71028676,120.12561692984607,71028676,51.194884720286446,-115.75492915374124,48,120125630.93808687,48,4825.0,51.2265,-115.7701,100214991.20601718,4825,68623531.4526987,0.571264691113818,0.6847631340068246,0.5712646911138177,0.6847631340068359
228,71028676,120.12561692984607,71028676,51.194884720286446,-115.75492915374124,48,120125630.93808687,48,4669.0,51.1114,-115.8561,100190896.32779302,4669,3841607.1992030777,0.03197991277301223,0.038342876848157445,0.031979912773012216,0.0457150457995245
229,71028676,120.12561692984607,71028676,51.194884720286446,-115.75492915374124,48,120125630.93808687,48,4670.0,51.1418,-115.7216,100199934.00316706,4670,46526812.6976646,0.38731794650589324,0.464339753918341,0.3873179465058931,0.4643397539183349
231,71028676,120.12561692984607,71028676,51.194884720286446,-115.75492915374124,48,120125630.93808687,48,4824.0,51.1961,-115.9049,100208757.40873125,4824,375567.3415340057,0.003126454684159572,0.003747849501836875,0.003126454684159571,0.003747849501836934
