           YEAR,           JDAY,           FSIN,          FSOUT,           ALBT,           FLIN,          FLOUT,            GTE,          QSENS,           QEVP,          GZERO,             TA,           TCAN,           CMAS,           TSNO,           TPND,          TSOL1,          TSOL2,          TSOL3,             QA,             UV,           PRES,
           1980,              1,   43.39988    ,   35.72171    ,  0.1675662    ,   257.2236    ,   294.4507    ,  -4.706970    ,   45.19836    ,   18.74028    ,  -66.22922    ,  -9.149750    ,  -6.657410    ,   8.742578    ,  -8.330597    ,   0.000000    , -0.2253113    ,   1.476440    ,  0.8765259    ,  0.2175565E-02,  0.3772888    ,   78287.84    ,
           1980,              2,   35.92722    ,   29.33342    ,  0.1752896    ,   237.3776    ,   277.9328    ,  -8.575226    ,   33.62604    ,   6.340590    ,  -50.40230    ,  -11.80997    ,  -9.997162    ,   8.772914    ,  -9.594177    ,   0.000000    ,  -1.135376    ,   1.112366    ,  0.8794861    ,  0.1735339E-02,  0.5001895    ,   78147.70    ,
           1980,              3,   37.47854    ,   28.61779    ,  0.2279730    ,   222.9905    ,   258.5928    ,  -13.34348    ,   11.27403    ,   1.601953    ,  -19.52891    ,  -12.32147    ,  -13.34045    ,   8.758071    ,  -9.969574    ,   0.000000    ,  -3.103912    ,   1.096588    ,  0.8823242    ,  0.1631318E-02,  0.8320103    ,   77725.09    ,
           1980,              4,   36.90930    ,   28.04498    ,  0.2309374    ,   229.1606    ,   258.5895    ,  -13.31699    ,   14.92915    ,   1.732219    ,  -17.80013    ,  -14.40637    ,  -13.63016    ,   8.788838    ,  -9.480743    ,   0.000000    ,  -3.814178    ,  0.3246460    ,  0.8822632    ,  0.1358359E-02,  0.4766770    ,   77790.07    ,
           1980,              5,   31.20474    ,   23.71253    ,  0.2347807    ,   198.3962    ,   233.3448    ,  -19.98320    ,   17.38651    ,   1.817206    ,  -26.92318    ,  -20.01840    ,  -20.61172    ,   8.849389    ,  -13.35001    ,   0.000000    ,  -6.054321    , -0.1047363    ,  0.8756714    ,  0.7599420E-03,   1.318453    ,   77382.03    ,
           1980,              6,   43.26201    ,   33.11892    ,  0.2259495    ,   160.2619    ,   208.8909    ,  -27.07762    ,   16.37886    ,  0.7397656    ,  -34.65094    ,  -25.35873    ,  -27.85483    ,   8.947124    ,  -19.77971    ,   0.000000    ,  -9.248138    , -0.3098145    ,  0.8699341    ,  0.4708882E-03,  0.6707733    ,   77776.87    ,
           1980,              7,   39.47063    ,   30.16922    ,  0.2255261    ,   198.0153    ,   227.3542    ,  -21.59032    ,   27.43007    ,   1.687095    ,  -28.56900    ,  -24.40266    ,  -22.67519    ,   8.906086    ,  -15.34500    ,   0.000000    ,  -7.497314    , -0.3919067    ,  0.8655396    ,  0.5113404E-03,  0.5985464    ,   77232.52    ,
           1980,              8,   40.58247    ,   30.85090    ,  0.2314716    ,   169.2576    ,   209.3962    ,  -26.65846    ,   28.08802    ,   1.066223    ,  -36.35938    ,  -29.38432    ,  -27.87764    ,   8.981690    ,  -17.88567    ,   0.000000    ,  -8.895935    , -0.4126587    ,  0.8584900    ,  0.2892625E-03,  0.8672468    ,   77258.66    ,
           1980,              9,   46.04695    ,   34.77412    ,  0.2383047    ,   175.2901    ,   212.0394    ,  -25.98813    ,   29.01038    ,   1.169768    ,  -33.65632    ,  -28.72789    ,  -26.82394    ,   8.911822    ,  -18.65793    ,   0.000000    ,  -8.991852    , -0.5240479    ,  0.8533936    ,  0.3541097E-03,  0.5736310    ,   76025.09    ,
           1980,             10,   41.30027    ,   29.85412    ,  0.2707409    ,   175.8131    ,   213.8803    ,  -25.40944    ,   22.30448    ,   1.379518    ,  -30.34438    ,  -26.14241    ,  -25.81900    ,   8.839611    ,  -17.60127    ,   0.000000    ,  -8.391907    ,  -1.014526    ,  0.8442383    ,  0.4401921E-03,   1.121900    ,   75405.37    ,
           1980,             11,   55.60457    ,   39.45214    ,  0.2828718    ,   163.0870    ,   207.7658    ,  -27.28273    ,   18.93413    ,   1.046420    ,  -28.03888    ,  -26.96065    ,  -27.02773    ,   8.904664    ,  -19.71294    ,   0.000000    ,  -10.14359    ,  -3.169067    ,  0.8204041    ,  0.4457977E-03,  0.7499710    ,   76483.22    ,
           1980,             12,   55.29993    ,   36.52103    ,  0.3308604    ,   204.7147    ,   237.3711    ,  -19.09244    ,   5.249906    ,   5.640412    ,  -11.69030    ,  -15.89252    ,  -18.01138    ,   8.662919    ,  -14.81387    ,   0.000000    ,  -9.158569    ,  -5.561798    ,  0.7653809    ,  0.1341452E-02,   2.570293    ,   74857.16    ,
           1980,             13,   56.62692    ,   34.50130    ,  0.3801733    ,   181.5664    ,   223.7922    ,  -22.78255    ,   1.195449    ,   5.260718    ,  -10.43356    ,  -15.96530    ,  -20.04393    ,   8.703208    ,  -13.68591    ,   0.000000    ,  -8.507385    ,  -5.750244    ,  0.6919556    ,  0.1066034E-02,   2.088131    ,   76123.77    ,
           1980,             14,   47.69040    ,   29.06613    ,  0.3811426    ,   201.0670    ,   228.2819    ,  -21.43761    ,   8.636012    ,   1.641935    ,  -10.32249    ,  -16.26526    ,  -20.28000    ,   8.733613    ,  -13.76328    ,   0.000000    ,  -8.844940    ,  -6.039490    ,  0.6195679    ,  0.1183589E-02,  0.5764661    ,   76658.66    ,
           1980,             15,   57.32971    ,   34.93216    ,  0.3806229    ,   198.3669    ,   231.7774    ,  -20.44211    ,   8.156964    ,   1.749159    ,  -9.150216    ,  -13.23923    ,  -18.67264    ,   8.727178    ,  -13.07159    ,   0.000000    ,  -8.653717    ,  -6.194458    ,  0.5443115    ,  0.1476894E-02,   1.384458    ,   77532.97    ,
           1980,             16,   48.18569    ,   29.34325    ,  0.3676499    ,   219.1039    ,   242.5677    ,  -17.47585    ,   9.824169    ,   2.567616    ,  -7.618232    ,  -14.64755    ,  -16.60593    ,   8.751358    ,  -11.89523    ,   0.000000    ,  -8.328949    ,  -6.251465    ,  0.4696655    ,  0.1353861E-02,  0.7693395    ,   77609.17    ,
           1980,             17,   32.88834    ,   19.63624    ,  0.3794679    ,   234.7019    ,   251.1261    ,  -15.22940    ,   2.829656    ,   5.900822    ,  -5.662878    ,  -13.35999    ,  -14.73630    ,   8.727221    ,  -10.42078    ,   0.000000    ,  -7.718292    ,  -6.081299    ,  0.4036865    ,  0.1379766E-02,   1.520276    ,   77616.55    ,
           1980,             18,   68.47092    ,   41.47125    ,  0.3716697    ,   146.0946    ,   199.1474    ,  -30.07108    ,   5.781656    ,   2.143253    ,  -13.27807    ,  -17.82823    ,  -26.79539    ,   8.857450    ,  -14.74072    ,   0.000000    ,  -8.768127    ,  -5.744690    ,  0.3546143    ,  0.7023863E-03,   1.162355    ,   79162.64    ,
           1980,             19,   68.41543    ,   42.13847    ,  0.3616500    ,   170.2434    ,   210.8250    ,  -26.68417    ,   4.708329    ,   4.652674    ,  -13.09602    ,  -12.29272    ,  -24.65695    ,   8.785331    ,  -15.61301    ,   0.000000    ,  -9.660522    ,  -6.468231    ,  0.3187866    ,  0.5902072E-03,   1.039978    ,   79226.15    ,
           1980,             20,   50.85881    ,   31.50974    ,  0.3610348    ,   200.1999    ,   230.5697    ,  -20.86577    ,   7.092037    ,   4.654569    ,  -9.093897    ,  -11.33234    ,  -19.38469    ,   8.756057    ,  -13.26013    ,   0.000000    ,  -9.178162    ,  -6.925354    ,  0.2891541    ,  0.9857111E-03,  0.7379756    ,   78841.00    ,
           1980,             21,   70.04794    ,   43.70815    ,  0.3549349    ,   169.7419    ,   216.3960    ,  -25.01927    ,   7.561799    ,   1.426710    ,  -11.92744    ,  -12.25241    ,  -22.75449    ,   8.779408    ,  -14.96228    ,   0.000000    ,  -9.759491    ,  -6.969818    ,  0.2665100    ,  0.1349450E-02,  0.8765203    ,   79069.02    ,
           1980,             22,   58.41111    ,   36.57817    ,  0.3532438    ,   212.2603    ,   239.0025    ,  -18.75758    ,   9.382703    ,   2.606046    ,  -8.426554    ,  -10.04828    ,  -17.51930    ,   8.751521    ,  -13.36414    ,   0.000000    ,  -9.525238    ,  -7.304047    ,  0.2477722    ,  0.1604658E-02,  0.7474597    ,   79108.84    ,
           1980,             23,   47.97894    ,   29.25585    ,  0.3701093    ,   260.0400    ,   276.4582    ,  -8.953613    ,   3.355200    ,   6.876860    ,  -1.698690    ,  -6.525940    ,  -7.746338    ,   8.677176    ,  -8.971802    ,   0.000000    ,  -7.899719    ,  -7.053497    ,  0.2316284    ,  0.2715887E-02,   1.810673    ,   78532.92    ,
           1980,             24,   48.37589    ,   29.11696    ,  0.3792316    ,   234.0960    ,   262.1297    ,  -12.41919    ,  -6.926707    ,   15.58954    ,  -3.421975    ,  -10.60675    ,  -11.10095    ,   8.695958    ,  -8.631714    ,   0.000000    ,  -7.105682    ,  -6.117523    ,  0.2175903    ,  0.1587250E-02,   3.812756    ,   77861.77    ,
