           YEAR,           JDAY,        PRECACC,          ETACC,         ROFACC,      OVRFLWACC,      LATFLWACC,    DRAINSOLACC,       DSTGWACC,           PREC,             ET,            ROF,         OVRFLW,         LATFLW,       DRAINSOL,        FZWSCAN,        LQWSCAN,            SNO,        LQWSSNO,        LQWSPND,       LQWSSOL1,       FZWSSOL1,       ALWSSOL1,       LQWSSOL2,       FZWSSOL2,       ALWSSOL2,       LQWSSOL3,       FZWSSOL3,       ALWSSOL3,        LQWSSOL,        FZWSSOL,        ALWSSOL,          STGGW,            DZS,           STGW,          DSTGW,
           1980,              2,  0.8809494    ,  0.5291310    ,   61.33630    ,  0.7052210E-02,   61.32255    ,  0.6688619E-02,  -63.11682    ,  0.8809494    ,  0.5291310    ,   61.33630    ,  0.7052210E-02,   61.32255    ,  0.6688619E-02,  0.1610494    ,  0.1231623E-09,  0.8249822E-01,   0.000000    ,   0.000000    ,   12.37323    ,   9.618853    ,   21.99208    ,   58.03822    ,  0.1016116E-04,   58.03822    ,   474.1107    ,   0.000000    ,   474.1107    ,   544.5222    ,   9.618863    ,   554.1411    ,   3.903100    ,   0.000000    ,   558.2878    ,  -63.11682    ,
           1980,              3,   3.144701    ,  0.5883419    ,   61.35874    ,  0.7772524E-02,   61.32804    ,  0.2291170E-01,  -65.62280    ,   2.263752    ,  0.5921086E-01,  0.2244081E-01,  0.7203150E-03,  0.5497420E-02,  0.1622307E-01,   1.182565    ,   0.000000    ,   1.437123    ,   0.000000    ,   0.000000    ,   5.228722    ,   20.34919    ,   25.57792    ,   54.29739    ,  0.1177556    ,   54.41515    ,   463.0539    ,   0.000000    ,   463.0539    ,   522.5800    ,   20.46695    ,   543.0469    ,   7.609470    ,   0.000000    ,   553.2761    ,  -5.011719    ,
           1980,              4,   4.029755    ,  0.6441064    ,   61.38466    ,  0.8532815E-02,   61.32804    ,  0.4806488E-01,  -66.35748    ,  0.8850541    ,  0.5576444E-01,  0.2591347E-01,  0.7602896E-03,   0.000000    ,  0.2515318E-01,   1.343035    ,   0.000000    ,   2.008087    ,   0.000000    ,   0.000000    ,   4.138972    ,   23.72512    ,   27.86409    ,   51.87075    ,  0.5015749    ,   52.37233    ,   459.4705    ,   0.000000    ,   459.4705    ,   515.4802    ,   24.22670    ,   539.7069    ,   10.51971    ,   0.000000    ,   553.5776    ,  0.3015747    ,
           1980,              5,   4.388556    ,  0.6984653    ,   61.41853    ,  0.8908205E-02,   61.32804    ,  0.8154075E-01,  -66.66254    ,  0.3588018    ,  0.5435882E-01,  0.3385126E-01,  0.3753917E-03,   0.000000    ,  0.3347587E-01,   1.424763    ,   0.000000    ,   2.532574    ,   0.000000    ,   0.000000    ,   3.837672    ,   25.68927    ,   29.52695    ,   49.62657    ,   1.267573    ,   50.89414    ,   456.4619    ,   0.000000    ,   456.4619    ,   509.9262    ,   26.95684    ,   536.8831    ,   12.98660    ,   0.000000    ,   553.8270    ,  0.2493286    ,
           1980,              6,   4.418701    ,  0.7196197    ,   61.45979    ,  0.8937716E-02,   61.32804    ,  0.1227599    ,  -66.90033    ,  0.3014449E-01,  0.2115442E-01,  0.4124863E-01,  0.2950893E-04,   0.000000    ,  0.4121912E-01,   1.299311    ,   0.000000    ,   2.724560    ,   0.000000    ,   0.000000    ,   3.829781    ,   26.90659    ,   30.73637    ,   44.53706    ,   5.562218    ,   50.09928    ,   453.5564    ,   0.000000    ,   453.5564    ,   501.9232    ,   32.46880    ,   534.3920    ,   15.13732    ,   0.000000    ,   553.5532    , -0.2737427    ,
           1980,              7,   4.747906    ,  0.7709050    ,   61.50811    ,  0.8970998E-02,   61.32804    ,  0.1710470    ,  -67.10126    ,  0.3292050    ,  0.5128523E-01,  0.4832047E-01,  0.3328109E-04,   0.000000    ,  0.4828718E-01,   1.203278    ,   0.000000    ,   2.913144    ,   0.000000    ,   0.000000    ,   3.829781    ,   27.51464    ,   31.34442    ,   37.12769    ,   13.24750    ,   50.37519    ,   450.4544    ,   0.000000    ,   450.4544    ,   491.4119    ,   40.76214    ,   532.1740    ,   17.00807    ,   0.000000    ,   553.2985    , -0.2546997    ,
           1980,              8,   4.938996    ,  0.7998774    ,   61.56283    ,  0.9010123E-02,   61.32804    ,  0.2257237    ,  -67.25079    ,  0.1910899    ,  0.2897245E-01,  0.5471573E-01,  0.3912576E-04,   0.000000    ,  0.5467660E-01,   1.187641    ,   0.000000    ,   3.218395    ,   0.000000    ,   0.000000    ,   3.829781    ,   27.79461    ,   31.62439    ,   30.97872    ,   20.06338    ,   51.04210    ,   447.5471    ,   0.000000    ,   447.5471    ,   482.3556    ,   47.85800    ,   530.2136    ,   18.63752    ,   0.000000    ,   553.2571    , -0.4144287E-01,
           1980,              9,   5.788904    ,  0.8338310    ,   61.62333    ,  0.9038483E-02,   61.32804    ,  0.2861967    ,  -67.34595    ,  0.8499071    ,  0.3395359E-01,  0.6050147E-01,  0.2835892E-04,   0.000000    ,  0.6047311E-01,   1.235103    ,   0.000000    ,   3.611880    ,   0.000000    ,   0.000000    ,   3.829781    ,   27.90414    ,   31.73392    ,   22.74431    ,   29.08310    ,   51.82741    ,   444.9106    ,  0.1285840E-06,   444.9106    ,   471.4847    ,   56.98724    ,   528.4720    ,   20.07274    ,   0.000000    ,   553.3917    ,  0.1345825    ,
           1980,             10,   7.113611    ,  0.8737661    ,   61.68911    ,  0.9043659E-02,   61.32804    ,  0.3519672    ,  -67.30981    ,   1.324706    ,  0.3993506E-01,  0.6577569E-01,  0.5175911E-05,   0.000000    ,  0.6577051E-01,   1.565031    ,   0.000000    ,   4.554039    ,   0.000000    ,   0.000000    ,   3.829781    ,   27.92805    ,   31.75783    ,   15.71690    ,   36.85781    ,   52.57471    ,   442.5797    ,  0.5492871E-03,   442.5803    ,   462.1264    ,   64.78641    ,   526.9128    ,   21.35301    ,   0.000000    ,   554.3849    ,  0.9932861    ,
           1980,             11,   10.58794    ,  0.9045823    ,   61.75977    ,  0.9043659E-02,   61.32804    ,  0.4226219    ,  -67.18506    ,   3.474333    ,  0.3081631E-01,  0.7065470E-01,   0.000000    ,   0.000000    ,  0.7065470E-01,   1.809968    ,   0.000000    ,   5.527542    ,   0.000000    ,   0.000000    ,   3.829781    ,   27.93261    ,   31.76239    ,   11.21570    ,   41.98944    ,   53.20515    ,   440.5290    ,  0.1868979E-02,   440.5309    ,   455.5745    ,   69.92392    ,   525.4984    ,   22.50962    ,   0.000000    ,   555.3456    ,  0.9606323    ,
