           YEAR,           JDAY,        QOMEAS1,         QOSIM1,        QOMEAS2,         QOSIM2,
           1980,              1,   15.00000    ,   965.7876    ,  -1.000000    ,   551.1157    ,
           1980,              2,   15.00000    ,   776.7473    ,  -1.000000    ,   73.17786    ,
           1980,              3,   13.30000    ,   130.0511    ,  -1.000000    ,   1.244753    ,
           1980,              4,   11.80000    ,   4.023198    ,  -1.000000    ,  0.3549832    ,
           1980,              5,   12.90000    ,   1.571938    ,  -1.000000    ,  0.2986286    ,
           1980,              6,   13.50000    ,   1.135241    ,  -1.000000    ,  0.3373145    ,
           1980,              7,   13.00000    ,   1.100794    ,  -1.000000    ,  0.3948672    ,
           1980,              8,   13.00000    ,   1.207638    ,  -1.000000    ,  0.4525987    ,
           1980,              9,   12.80000    ,   1.360078    ,  -1.000000    ,  0.5059206    ,
           1980,             10,   12.60000    ,   1.514512    ,  -1.000000    ,  0.5545184    ,
           1980,             11,   11.80000    ,   1.657176    ,  -1.000000    ,  0.5991036    ,
           1980,             12,   10.40000    ,   1.786898    ,  -1.000000    ,  0.6403515    ,
           1980,             13,   10.10000    ,   1.905427    ,  -1.000000    ,  0.6786742    ,
           1980,             14,   10.60000    ,   2.014522    ,  -1.000000    ,  0.7143519    ,
           1980,             15,   10.40000    ,   2.115455    ,  -1.000000    ,  0.7476380    ,
           1980,             16,   10.40000    ,   2.209172    ,  -1.000000    ,  0.7787462    ,
           1980,             17,   10.70000    ,   2.296416    ,  -1.000000    ,  0.8078432    ,
           1980,             18,   10.90000    ,   2.377702    ,  -1.000000    ,  0.8350120    ,
           1980,             19,   11.30000    ,   2.453336    ,  -1.000000    ,  0.8603025    ,
           1980,             20,   10.50000    ,   2.523486    ,  -1.000000    ,  0.8837323    ,
           1980,             21,   9.520000    ,   2.588234    ,  -1.000000    ,  0.9053266    ,
           1980,             22,   10.20000    ,   2.647732    ,  -1.000000    ,  0.9251482    ,
           1980,             23,   10.80000    ,   2.702208    ,  -1.000000    ,  0.9432984    ,
           1980,             24,   10.10000    ,   2.751961    ,  -1.000000    ,  0.9598953    ,
           1980,             25,   9.450000    ,   2.797379    ,  -1.000000    ,  0.9751065    ,
           1980,             26,   9.030000    ,   2.838935    ,  -1.000000    ,  0.9891126    ,
           1980,             27,   9.490000    ,   2.877069    ,  -1.000000    ,   1.002035    ,
           1980,             28,   10.20000    ,   2.912051    ,  -1.000000    ,   1.013909    ,
           1980,             29,   9.730000    ,   2.943657    ,  -1.000000    ,   1.024716    ,
           1980,             30,   9.140000    ,   2.971561    ,  -1.000000    ,   1.034443    ,
           1980,             31,   9.070000    ,   2.995652    ,  -1.000000    ,   1.043065    ,
           1980,             32,   9.110000    ,   3.015925    ,  -1.000000    ,   1.050599    ,
           1980,             33,   9.600000    ,   3.032547    ,  -1.000000    ,   1.057063    ,
           1980,             34,   9.890000    ,   3.045996    ,  -1.000000    ,   1.062566    ,
           1980,             35,   9.710000    ,   3.056853    ,  -1.000000    ,   1.067233    ,
           1980,             36,   9.210000    ,   3.065707    ,  -1.000000    ,   1.071232    ,
           1980,             37,   9.130000    ,   3.072724    ,  -1.000000    ,   1.074614    ,
