           YEAR,           JDAY,           FSIN,          FSOUT,           ALBT,           FLIN,          FLOUT,            GTE,          QSENS,           QEVP,          GZERO,             TA,           TCAN,           CMAS,           TSNO,           TPND,          TSOL1,          TSOL2,          TSOL3,             QA,             UV,           PRES,
           1980,              2,   35.92722    ,   29.03169    ,  0.1837352    ,   236.5863    ,   281.5718    ,  -7.705841    ,   44.65880    ,   15.39637    ,  -75.97313    ,  -11.92590    ,  -9.831696    ,   8.772710    ,  -10.26614    ,   0.000000    , -0.4830322    ,   1.580963    ,  0.8773193    ,  0.1716788E-02,  0.5052841    ,   78107.16    ,
           1980,              3,   37.47854    ,   28.25366    ,  0.2374792    ,   222.4557    ,   260.1388    ,  -12.95294    ,   12.00114    ,   1.873952    ,  -22.76716    ,  -12.39279    ,  -13.06897    ,   8.760180    ,  -9.306885    ,   0.000000    ,  -1.630524    ,   2.317688    ,  0.8858643    ,  0.1620689E-02,  0.8390765    ,   77746.63    ,
           1980,              4,   36.90930    ,   27.69180    ,  0.2410541    ,   228.9875    ,   259.4613    ,  -13.09811    ,   15.59265    ,   1.814861    ,  -19.92972    ,  -14.48529    ,  -13.52600    ,   8.789237    ,  -8.833923    ,   0.000000    ,  -2.694275    ,   1.600861    ,  0.8997192    ,  0.1350229E-02,  0.4801218    ,   77766.23    ,
           1980,              5,   31.20474    ,   23.34638    ,  0.2453012    ,   195.0179    ,   231.9165    ,  -20.40559    ,   17.50881    ,   1.783399    ,  -29.12506    ,  -20.39426    ,  -21.13023    ,   8.856120    ,  -13.29999    ,   0.000000    ,  -5.566467    ,  0.5986023    ,  0.9039917    ,  0.7294269E-03,   1.362579    ,   77400.34    ,
           1980,              6,   43.26200    ,   32.68386    ,  0.2367248    ,   162.2207    ,   210.3502    ,  -26.63585    ,   16.10928    ,  0.6941292    ,  -34.42841    ,  -25.33377    ,  -27.49794    ,   8.946395    ,  -19.48915    ,   0.000000    ,  -9.046539    , -0.2328186    ,  0.9016113    ,  0.4742272E-03,  0.6211078    ,   77761.13    ,
           1980,              7,   39.47062    ,   29.80991    ,  0.2363353    ,   198.6185    ,   227.4940    ,  -21.55101    ,   27.70747    ,   1.682796    ,  -28.62735    ,  -24.46359    ,  -22.70973    ,   8.906732    ,  -15.28033    ,   0.000000    ,  -7.496094    , -0.4050903    ,  0.8963623    ,  0.5063217E-03,  0.6088189    ,   77220.48    ,
           1980,              8,   40.58247    ,   30.41899    ,  0.2424410    ,   167.1863    ,   208.4191    ,  -26.94984    ,   27.05681    ,  0.9506583    ,  -36.82390    ,  -29.60916    ,  -28.18999    ,   8.984862    ,  -18.16927    ,   0.000000    ,  -9.041229    , -0.4253235    ,  0.8884888    ,  0.2830306E-03,  0.8870322    ,   77245.59    ,
           1980,              9,   46.04695    ,   34.21778    ,  0.2495160    ,   175.7303    ,   212.4864    ,  -25.85129    ,   28.38679    ,   1.114102    ,  -33.39203    ,  -28.53604    ,  -26.73735    ,   8.905854    ,  -18.59303    ,   0.000000    ,  -8.979065    , -0.5378723    ,  0.8830872    ,  0.3616379E-03,  0.5501131    ,   75955.99    ,
           1980,             10,   41.30027    ,   29.31746    ,  0.2826491    ,   175.0211    ,   213.2457    ,  -25.60768    ,   21.85122    ,   1.310369    ,  -30.64689    ,  -26.12106    ,  -26.07797    ,   8.842274    ,  -17.69853    ,   0.000000    ,  -8.352142    , -0.8024902    ,  0.8739624    ,  0.4403694E-03,   1.126468    ,   75462.16    ,
           1980,             11,   55.60456    ,   38.93940    ,  0.2949187    ,   165.5231    ,   209.6505    ,  -26.71544    ,   18.77238    ,   1.011160    ,  -28.17392    ,  -26.82103    ,  -26.56516    ,   8.900664    ,  -19.21916    ,   0.000000    ,  -9.395203    ,  -2.184875    ,  0.8573608    ,  0.4544080E-03,  0.7437347    ,   76437.63    ,
