           YEAR,           JDAY,           FSIN,          FSOUT,           ALBT,           FLIN,          FLOUT,            GTE,          QSENS,           QEVP,          GZERO,             TA,           TCAN,           CMAS,           TSNO,           TPND,          TSOL1,          TSOL2,          TSOL3,             QA,             UV,           PRES,
           2000,              2,   29.40650    ,   22.86814    ,  0.2147676    ,   231.5419    ,   269.0301    ,  -10.71713    ,   44.12172    ,   14.35139    ,  -72.89182    ,  -14.97839    ,  -12.76331    ,   8.303792    ,  -10.83832    ,   0.000000    , -0.5242615    ,   2.288635    ,  0.8385620    ,  0.1256797E-02,  0.5775195    ,   77373.10    ,
           2000,              3,   40.21935    ,   30.47044    ,  0.2345951    ,   199.4703    ,   243.6197    ,  -17.17345    ,   24.01699    ,   1.130205    ,  -38.15311    ,  -19.18492    ,  -18.25764    ,   8.396461    ,  -13.90369    ,   0.000000    ,  -3.414673    ,   2.497833    ,  0.8574219    ,  0.8666383E-03,  0.6369995    ,   78229.67    ,
           2000,              4,   48.13951    ,   34.38721    ,  0.2777187    ,   218.6745    ,   255.8824    ,  -14.10504    ,   7.998290    ,   3.821539    ,  -17.27815    ,  -14.28302    ,  -14.20215    ,   8.286434    ,  -10.90186    ,   0.000000    ,  -3.566162    ,   1.281097    ,  0.8731689    ,  0.1403476E-02,   2.811311    ,   77295.47    ,
           2000,              5,   41.03777    ,   26.44481    ,  0.3475617    ,   207.9122    ,   251.2246    ,  -15.38361    , -0.4321357    ,   6.220547    ,  -18.14639    ,  -11.06360    ,  -14.26682    ,   8.266826    ,  -9.586304    ,   0.000000    ,  -3.228943    ,  0.5314941    ,  0.8734741    ,  0.1470543E-02,   3.784500    ,   78034.28    ,
           2000,              6,   43.97071    ,   28.49788    ,  0.3435040    ,   200.8283    ,   237.7019    ,  -18.91100    ,   8.125598    ,   1.629572    ,  -20.16383    ,  -13.86407    ,  -18.39517    ,   8.310970    ,  -13.08493    ,   0.000000    ,  -5.292816    , -0.2807617E-01,  0.8695679    ,  0.1413298E-02,   1.370429    ,   78218.51    ,
           2000,              7,   44.69806    ,   29.02205    ,  0.3423202    ,   208.5464    ,   247.8738    ,  -16.17639    ,   3.695021    ,   4.054687    ,  -17.91782    ,  -11.01654    ,  -15.53009    ,   8.254878    ,  -11.25745    ,   0.000000    ,  -4.757355    , -0.3064575    ,  0.8609009    ,  0.1679734E-02,   3.012460    ,   77789.90    ,
           2000,              8,   39.06851    ,   25.13535    ,  0.3491667    ,   221.5794    ,   257.9218    ,  -13.55322    ,  -1.951305    ,   4.122333    ,  -14.29660    ,  -11.14014    ,  -12.69934    ,   8.215735    ,  -9.438232    ,   0.000000    ,  -4.019287    , -0.3430176    ,  0.8506775    ,  0.1756355E-02,   2.910837    ,   76898.02    ,
           2000,              9,   49.25606    ,   31.42824    ,  0.3527029    ,   200.7356    ,   245.7949    ,  -16.75989    ,  -1.220831    ,   5.590633    ,  -18.02355    ,  -12.18304    ,  -15.42633    ,   8.202600    ,  -11.49008    ,   0.000000    ,  -4.803009    , -0.3625488    ,  0.8398438    ,  0.1372217E-02,   3.530341    ,   76344.24    ,
           2000,             10,   52.61061    ,   32.53783    ,  0.3742745    ,   181.2929    ,   232.7261    ,  -20.19859    ,   3.330078    ,   2.877965    ,  -20.87815    ,  -14.68073    ,  -18.13852    ,   8.252069    ,  -12.44571    ,   0.000000    ,  -5.014252    , -0.3867188    ,  0.8294373    ,  0.1077951E-02,   2.264926    ,   76835.24    ,
           2000,             11,   43.81976    ,   27.01702    ,  0.3802293    ,   189.1292    ,   224.8923    ,  -22.49045    ,   8.999328    ,   1.245460    ,  -22.46329    ,  -17.85910    ,  -21.64639    ,   8.283721    ,  -14.84177    ,   0.000000    ,  -6.251923    , -0.4276733    ,  0.8204956    ,  0.9545416E-03,  0.8485710    ,   76616.35    ,
           2000,             12,   50.11673    ,   30.77891    ,  0.3850254    ,   179.7066    ,   223.7210    ,  -22.62886    ,   10.48862    ,   1.149429    ,  -22.98117    ,  -19.89287    ,  -21.28337    ,   8.341962    ,  -14.03931    ,   0.000000    ,  -5.778381    , -0.4743042    ,  0.8109741    ,  0.8260151E-03,  0.6382920    ,   77365.46    ,
           2000,             13,   52.97892    ,   32.02406    ,  0.3956223    ,   188.7215    ,   227.7858    ,  -21.63034    ,   10.11119    ,   1.439454    ,  -20.43460    ,  -17.29884    ,  -20.29713    ,   8.333407    ,  -13.83969    ,   0.000000    ,  -5.890137    , -0.8621216    ,  0.7995911    ,  0.1012458E-02,  0.7652731    ,   78030.00    ,
           2000,             14,   39.01493    ,   22.92943    ,  0.4121116    ,   224.8996    ,   247.0310    ,  -16.34232    ,   9.649087    ,   2.108817    ,  -13.56684    ,  -15.15125    ,  -15.92444    ,   8.283280    ,  -10.65598    ,   0.000000    ,  -5.005005    ,  -1.525269    ,  0.7801514    ,  0.1278105E-02,  0.9709627    ,   77665.27    ,
           2000,             15,   55.16384    ,   30.79722    ,  0.4413894    ,   196.4174    ,   234.1868    ,  -19.84525    ,   5.119349    ,   4.137833    ,  -11.88529    ,  -11.77197    ,  -17.48813    ,   8.216693    ,  -10.03647    ,   0.000000    ,  -4.717377    ,  -1.906189    ,  0.7521362    ,  0.1460298E-02,   2.114675    ,   77744.83    ,
           2000,             16,   46.80050    ,   25.97292    ,  0.4295926    ,   203.8058    ,   230.5501    ,  -20.93605    ,   5.844567    ,   2.189167    ,  -12.56602    ,  -14.44647    ,  -19.75087    ,   8.229428    ,  -11.41681    ,   0.000000    ,  -5.648315    ,  -2.385864    ,  0.7208252    ,  0.1315520E-02,   1.182025    ,   77300.70    ,
           2000,             17,   50.86671    ,   27.96383    ,  0.4349529    ,   218.2706    ,   248.4901    ,  -15.94968    ,  -1.309802    ,   7.162870    ,  -8.374255    ,  -9.640808    ,  -14.54773    ,   8.176623    ,  -8.698700    ,   0.000000    ,  -4.880341    ,  -2.745667    ,  0.6837769    ,  0.1774607E-02,   3.927178    ,   77872.54    ,
           2000,             18,   45.37661    ,   25.06473    ,  0.4329110    ,   217.3119    ,   243.4863    ,  -17.29503    ,   4.016362    ,   3.876845    ,  -8.484473    ,  -11.78427    ,  -15.88269    ,   8.216423    ,  -8.752197    ,   0.000000    ,  -4.988892    ,  -2.912445    ,  0.6440735    ,  0.1504815E-02,   2.015868    ,   78136.38    ,
           2000,             19,   67.23560    ,   38.28372    ,  0.4181755    ,   164.4405    ,   209.3195    ,  -26.88289    ,   8.552950    ,   2.051665    ,  -14.23552    ,  -17.24583    ,  -24.27339    ,   8.310227    ,  -12.18640    ,   0.000000    ,  -6.189728    ,  -3.100800    ,  0.6034241    ,  0.9477935E-03,  0.7194298    ,   78528.60    ,
           2000,             20,   68.11121    ,   38.91062    ,  0.4147211    ,   180.0864    ,   218.7285    ,  -24.36284    ,   6.713480    ,   2.742403    ,  -14.04863    ,  -14.04678    ,  -22.42796    ,   8.245875    ,  -13.11517    ,   0.000000    ,  -7.132202    ,  -3.861908    ,  0.5616455    ,  0.1045298E-02,  0.9466911    ,   77929.80    ,
           2000,             21,   49.35637    ,   27.57275    ,  0.4278910    ,   231.0781    ,   251.2346    ,  -15.22223    ,   8.853677    ,   2.872689    ,  -7.452358    ,  -13.71115    ,  -14.28543    ,   8.221376    ,  -9.615784    ,   0.000000    ,  -6.371643    ,  -4.469055    ,  0.5170288    ,  0.1445870E-02,  0.6959396    ,   77569.65    ,
           2000,             22,   47.75020    ,   26.83750    ,  0.4243518    ,   232.0611    ,   254.1505    ,  -14.45068    ,   9.274199    ,   3.227319    ,  -6.034302    ,  -13.24359    ,  -13.48584    ,   8.234672    ,  -8.421082    ,   0.000000    ,  -5.869873    ,  -4.417664    ,  0.4754028    ,  0.1438176E-02,  0.5252342    ,   78012.12    ,
           2000,             23,   57.82304    ,   33.09080    ,  0.4143791    ,   208.6767    ,   237.9568    ,  -18.70290    ,   11.58213    ,   2.019487    ,  -9.064239    ,  -16.10327    ,  -17.54811    ,   8.287964    ,  -10.15613    ,   0.000000    ,  -6.404877    ,  -4.362457    ,  0.4373474    ,  0.1139501E-02,  0.5071505    ,   78327.32    ,
           2000,             24,   74.14061    ,   43.55399    ,  0.4017072    ,   178.1488    ,   224.3355    ,  -22.60593    ,   9.974008    ,   2.035715    ,  -11.71471    ,  -14.38702    ,  -19.89241    ,   8.272054    ,  -11.91711    ,   0.000000    ,  -7.147369    ,  -4.653687    ,  0.4010925    ,  0.1236913E-02,  0.7929245    ,   78421.52    ,
           2000,             25,   71.41268    ,   42.69105    ,  0.3910964    ,   190.8476    ,   230.0857    ,  -21.38847    ,   7.503010    ,   2.603294    ,  -11.81394    ,  -9.825409    ,  -19.34972    ,   8.197225    ,  -13.07880    ,   0.000000    ,  -8.092834    ,  -5.334656    ,  0.3667297    ,  0.1293528E-02,   1.087376    ,   78018.52    ,
           2000,             26,   32.30039    ,   18.20617    ,  0.4245101    ,   265.2427    ,   273.3179    ,  -9.677856    ,   8.159120    ,   2.303602    ,  -3.056246    ,  -9.328979    ,  -9.312836    ,   8.184867    ,  -8.179108    ,   0.000000    ,  -6.691956    ,  -5.682495    ,  0.3297119    ,  0.2134212E-02,  0.5283871    ,   77961.02    ,
