           YEAR,           JDAY,        QOMEAS1,         QOSIM1,        QOMEAS2,         QOSIM2,
           2000,              2,   13.30000    ,   958.5110    ,  -1.000000    ,   93.71109    ,
           2000,              3,   11.80000    ,   535.1317    ,  -1.000000    ,   22.91326    ,
           2000,              4,   12.90000    ,   59.03810    ,  -1.000000    ,  0.6208887    ,
           2000,              5,   13.50000    ,   3.139947    ,  -1.000000    ,  0.1326934    ,
           2000,              6,   13.00000    ,   1.451386    ,  -1.000000    ,  0.8376050E-01,
           2000,              7,   13.00000    ,   1.110092    ,  -1.000000    ,  0.7900902E-01,
           2000,              8,   12.80000    ,   1.091577    ,  -1.000000    ,  0.8466566E-01,
           2000,              9,   12.60000    ,   1.184883    ,  -1.000000    ,  0.9283917E-01,
           2000,             10,   11.80000    ,   1.310454    ,  -1.000000    ,  0.1011009    ,
           2000,             11,   10.40000    ,   1.436217    ,  -1.000000    ,  0.1087468    ,
           2000,             12,   10.10000    ,   1.552489    ,  -1.000000    ,  0.1156408    ,
           2000,             13,   10.60000    ,   1.658052    ,  -1.000000    ,  0.1218172    ,
           2000,             14,   10.40000    ,   1.753970    ,  -1.000000    ,  0.1273555    ,
           2000,             15,   10.40000    ,   1.841589    ,  -1.000000    ,  0.1323425    ,
           2000,             16,   10.70000    ,   1.922070    ,  -1.000000    ,  0.1368562    ,
           2000,             17,   10.90000    ,   1.996387    ,  -1.000000    ,  0.1409734    ,
           2000,             18,   11.30000    ,   2.065515    ,  -1.000000    ,  0.1447861    ,
           2000,             19,   10.50000    ,   2.130297    ,  -1.000000    ,  0.1483724    ,
           2000,             20,   9.520000    ,   2.191301    ,  -1.000000    ,  0.1517717    ,
           2000,             21,   10.20000    ,   2.248842    ,  -1.000000    ,  0.1550045    ,
           2000,             22,   10.80000    ,   2.303072    ,  -1.000000    ,  0.1580847    ,
           2000,             23,   10.10000    ,   2.354087    ,  -1.000000    ,  0.1610241    ,
           2000,             24,   9.450000    ,   2.402074    ,  -1.000000    ,  0.1638311    ,
           2000,             25,   9.030000    ,   2.447210    ,  -1.000000    ,  0.1665087    ,
           2000,             26,   9.490000    ,   2.489596    ,  -1.000000    ,  0.1690599    ,
           2000,             27,   10.20000    ,   2.529287    ,  -1.000000    ,  0.1714888    ,
           2000,             28,   9.730000    ,   2.566414    ,  -1.000000    ,  0.1737994    ,
           2000,             29,   9.140000    ,   2.601136    ,  -1.000000    ,  0.1759973    ,
           2000,             30,   9.070000    ,   2.633557    ,  -1.000000    ,  0.1780866    ,
           2000,             31,   9.110000    ,   2.663712    ,  -1.000000    ,  0.1800643    ,
           2000,             32,   9.600000    ,   2.691572    ,  -1.000000    ,  0.1819280    ,
           2000,             33,   9.890000    ,   2.717116    ,  -1.000000    ,  0.1836790    ,
           2000,             34,   9.710000    ,   2.740451    ,  -1.000000    ,  0.1853211    ,
           2000,             35,   9.210000    ,   2.761682    ,  -1.000000    ,  0.1868591    ,
           2000,             36,   9.130000    ,   2.780897    ,  -1.000000    ,  0.1882963    ,
           2000,             37,   9.330000    ,   2.798026    ,  -1.000000    ,  0.1896346    ,
           2000,             38,   10.00000    ,   2.812636    ,  -1.000000    ,  0.1908717    ,
           2000,             39,   10.20000    ,   2.824902    ,  -1.000000    ,  0.1920074    ,
           2000,             40,   10.50000    ,   2.834377    ,  -1.000000    ,  0.1930463    ,
           2000,             41,   10.10000    ,   2.841509    ,  -1.000000    ,  0.1939443    ,
           2000,             42,   9.000000    ,   2.846668    ,  -1.000000    ,  0.1946331    ,
           2000,             43,   8.800000    ,   2.849843    ,  -1.000000    ,  0.1951849    ,
           2000,             44,   8.900000    ,   2.850574    ,  -1.000000    ,  0.1956665    ,
           2000,             45,   9.000000    ,   2.849447    ,  -1.000000    ,  0.1960930    ,
           2000,             46,   9.200000    ,   2.847146    ,  -1.000000    ,  0.1964666    ,
           2000,             47,   9.500000    ,   2.844188    ,  -1.000000    ,  0.1967192    ,
           2000,             48,   9.700000    ,   2.840421    ,  -1.000000    ,  0.1967797    ,
           2000,             49,   10.00000    ,   2.835561    ,  -1.000000    ,  0.1967447    ,
           2000,             50,   10.40000    ,   2.829540    ,  -1.000000    ,  0.1966140    ,
           2000,             51,   10.80000    ,   2.822337    ,  -1.000000    ,  0.1962835    ,
           2000,             52,   11.20000    ,   2.814290    ,  -1.000000    ,  0.1958404    ,
           2000,             53,   11.50000    ,   2.805477    ,  -1.000000    ,  0.1953166    ,
           2000,             54,   11.50000    ,   2.796220    ,  -1.000000    ,  0.1947396    ,
           2000,             55,   11.00000    ,   2.786434    ,  -1.000000    ,  0.1941358    ,
           2000,             56,   9.960000    ,   2.775834    ,  -1.000000    ,  0.1935190    ,
           2000,             57,   9.420000    ,   2.764456    ,  -1.000000    ,  0.1928936    ,
           2000,             58,   9.570000    ,   2.752681    ,  -1.000000    ,  0.1922542    ,
           2000,             59,   9.730000    ,   2.740796    ,  -1.000000    ,  0.1915485    ,
           2000,             60,   9.730000    ,   2.728862    ,  -1.000000    ,  0.1907736    ,
           2000,             61,   9.650000    ,   2.716827    ,  -1.000000    ,  0.1899219    ,
           2000,             62,   9.540000    ,   2.704397    ,  -1.000000    ,  0.1890369    ,
           2000,             63,   9.480000    ,   2.691612    ,  -1.000000    ,  0.1881486    ,
           2000,             64,   9.330000    ,   2.678732    ,  -1.000000    ,  0.1872649    ,
           2000,             65,   9.270000    ,   2.665871    ,  -1.000000    ,  0.1863849    ,
           2000,             66,   9.150000    ,   2.653051    ,  -1.000000    ,  0.1855109    ,
           2000,             67,   9.140000    ,   2.640323    ,  -1.000000    ,  0.1846415    ,
           2000,             68,   8.970000    ,   2.627671    ,  -1.000000    ,  0.1837775    ,
           2000,             69,   9.200000    ,   2.615068    ,  -1.000000    ,  0.1829190    ,
           2000,             70,   9.440000    ,   2.602571    ,  -1.000000    ,  0.1820648    ,
           2000,             71,   9.410000    ,   2.590128    ,  -1.000000    ,  0.1812166    ,
           2000,             72,   9.160000    ,   2.577763    ,  -1.000000    ,  0.1803724    ,
           2000,             73,   8.990000    ,   2.565490    ,  -1.000000    ,  0.1795340    ,
           2000,             74,   8.950000    ,   2.553270    ,  -1.000000    ,  0.1787002    ,
           2000,             75,   8.790000    ,   2.541134    ,  -1.000000    ,  0.1778712    ,
           2000,             76,   8.950000    ,   2.529083    ,  -1.000000    ,  0.1770474    ,
           2000,             77,   8.910000    ,   2.517077    ,  -1.000000    ,  0.1762279    ,
           2000,             78,   8.900000    ,   2.505164    ,  -1.000000    ,  0.1754144    ,
           2000,             79,   9.010000    ,   2.493318    ,  -1.000000    ,  0.1746041    ,
           2000,             80,   8.800000    ,   2.481529    ,  -1.000000    ,  0.1737997    ,
           2000,             81,   8.940000    ,   2.469838    ,  -1.000000    ,  0.1729991    ,
           2000,             82,   8.830000    ,   2.458204    ,  -1.000000    ,  0.1722040    ,
           2000,             83,   9.000000    ,   2.446624    ,  -1.000000    ,  0.1714128    ,
           2000,             84,   8.950000    ,   2.435139    ,  -1.000000    ,  0.1706268    ,
           2000,             85,   8.980000    ,   2.423701    ,  -1.000000    ,  0.1698449    ,
           2000,             86,   8.920000    ,   2.412337    ,  -1.000000    ,  0.1690679    ,
           2000,             87,   8.990000    ,   2.401056    ,  -1.000000    ,  0.1682957    ,
           2000,             88,   9.160000    ,   2.389825    ,  -1.000000    ,  0.1675269    ,
           2000,             89,   9.080000    ,   2.378659    ,  -1.000000    ,  0.1667634    ,
           2000,             90,   8.820000    ,   2.367578    ,  -1.000000    ,  0.1660037    ,
           2000,             91,   8.790000    ,   2.356541    ,  -1.000000    ,  0.1652512    ,
           2000,             92,   9.000000    ,   2.345581    ,  -1.000000    ,  0.1645003    ,
           2000,             93,   9.220000    ,   2.334681    ,  -1.000000    ,  0.1637549    ,
           2000,             94,   9.220000    ,   2.332204    ,  -1.000000    ,  0.1644812    ,
           2000,             95,   9.430000    ,   2.327076    ,  -1.000000    ,  0.1670213    ,
           2000,             96,   9.480000    ,   2.308313    ,  -1.000000    ,  0.1625537    ,
           2000,             97,   9.150000    ,   2.294456    ,  -1.000000    ,  0.1609810    ,
           2000,             98,   8.820000    ,   2.281999    ,  -1.000000    ,  0.1601128    ,
           2000,             99,   9.000000    ,   2.276793    ,  -1.000000    ,  0.1593680    ,
           2000,            100,   9.290000    ,   2.264042    ,  -1.000000    ,  0.1586484    ,
           2000,            101,   9.310000    ,   2.251700    ,  -1.000000    ,  0.1579373    ,
           2000,            102,   9.320000    ,   2.241554    ,  -1.000000    ,  0.1572288    ,
           2000,            103,   9.260000    ,   2.231267    ,  -1.000000    ,  0.1565221    ,
           2000,            104,   9.450000    ,   2.219281    ,  -1.000000    ,  0.1558203    ,
           2000,            105,   8.400000    ,   2.208781    ,  -1.000000    ,  0.1551237    ,
           2000,            106,   8.110000    ,   2.198684    ,  -1.000000    ,  0.1544306    ,
           2000,            107,   9.420000    ,   2.192547    ,  -1.000000    ,  0.1537420    ,
           2000,            108,   9.780000    ,   2.184387    ,  -1.000000    ,  0.1530569    ,
           2000,            109,   9.570000    ,   2.173688    ,  -1.000000    ,  0.1523758    ,
           2000,            110,   9.540000    ,   2.163219    ,  -1.000000    ,  0.1516987    ,
           2000,            111,   9.960000    ,   2.168453    ,  -1.000000    ,  0.1623287    ,
           2000,            112,   10.30000    ,   2.298632    ,  -1.000000    ,  0.1912463    ,
           2000,            113,   11.10000    ,   2.493469    ,  -1.000000    ,  0.1905392    ,
           2000,            114,   11.80000    ,   2.660987    ,  -1.000000    ,  0.1720805    ,
           2000,            115,   11.70000    ,   2.268847    ,  -1.000000    ,  0.1530371    ,
           2000,            116,   11.30000    ,   2.130429    ,  -1.000000    ,  0.1485383    ,
           2000,            117,   10.90000    ,   2.140886    ,  -1.000000    ,  0.1472082    ,
           2000,            118,   11.00000    ,   3.615442    ,  -1.000000    ,  0.1529445    ,
           2000,            119,   11.70000    ,   10.59495    ,  -1.000000    ,  0.1808409    ,
           2000,            120,   13.20000    ,   3.639463    ,  -1.000000    ,  0.1765513    ,
           2000,            121,   13.30000    ,   8.479144    ,  -1.000000    ,  0.1633380    ,
           2000,            122,   13.40000    ,   13.68638    ,   3.600000    ,  0.1760196    ,
           2000,            123,   14.50000    ,   23.93043    ,   3.800000    ,  0.1770337    ,
           2000,            124,   15.80000    ,   22.94731    ,   4.110000    ,  0.1896358    ,
           2000,            125,   17.40000    ,   12.87100    ,   4.600000    ,  0.1867773    ,
           2000,            126,   17.20000    ,   3.905552    ,   4.560000    ,  0.1511717    ,
           2000,            127,   16.80000    ,   2.486691    ,   4.520000    ,  0.1446256    ,
           2000,            128,   15.90000    ,   2.039809    ,   4.480000    ,  0.1419663    ,
           2000,            129,   15.40000    ,   3.787962    ,   4.460000    ,  0.1420354    ,
           2000,            130,   15.40000    ,   6.533216    ,   4.450000    ,  0.1446869    ,
           2000,            131,   15.70000    ,   4.544746    ,   4.430000    ,  0.1413451    ,
           2000,            132,   15.80000    ,   2.402127    ,   4.390000    ,  0.1402483    ,
           2000,            133,   15.00000    ,   6.406913    ,   4.310000    ,  0.1398024    ,
           2000,            134,   14.60000    ,   7.959432    ,   4.350000    ,  0.1399110    ,
           2000,            135,   14.90000    ,   9.548081    ,   4.510000    ,  0.1568241    ,
           2000,            136,   15.50000    ,   26.80935    ,   5.110000    ,  0.1951778    ,
           2000,            137,   17.30000    ,   36.75346    ,   6.050000    ,  0.3573274    ,
           2000,            138,   20.90000    ,   37.31574    ,   7.190000    ,  0.6922715    ,
           2000,            139,   26.70000    ,   41.53918    ,   8.500000    ,  0.6158730    ,
           2000,            140,   32.00000    ,   41.35330    ,   9.320000    ,  0.5897774    ,
           2000,            141,   34.30000    ,   61.70700    ,   10.10000    ,  0.4430523    ,
           2000,            142,   37.30000    ,   63.80676    ,   12.00000    ,  0.5672625    ,
           2000,            143,   52.10000    ,   65.81484    ,   15.20000    ,  0.6591008    ,
           2000,            144,   60.60000    ,   62.53351    ,   15.50000    ,  0.3825947    ,
           2000,            145,   56.10000    ,   14.20052    ,   14.80000    ,  0.2372642    ,
           2000,            146,   53.60000    ,   30.40899    ,   14.00000    ,  0.3356854    ,
           2000,            147,   52.40000    ,   39.10151    ,   13.20000    ,  0.4226224    ,
           2000,            148,   50.20000    ,   42.14033    ,   12.90000    ,  0.5496253    ,
           2000,            149,   51.20000    ,   53.14026    ,   13.20000    ,  0.4626578    ,
           2000,            150,   50.20000    ,   38.68334    ,   12.80000    ,  0.2646857    ,
           2000,            151,   50.10000    ,   52.10826    ,   13.20000    ,  0.3514535    ,
           2000,            152,   48.50000    ,   25.92397    ,   12.70000    ,  0.3320421    ,
           2000,            153,   46.60000    ,   27.87031    ,   12.30000    ,  0.3080171    ,
           2000,            154,   47.80000    ,   29.60134    ,   12.20000    ,  0.5585229    ,
           2000,            155,   50.60000    ,   32.96456    ,   12.50000    ,   2.400918    ,
           2000,            156,   60.80000    ,   38.71916    ,   13.60000    ,   5.413445    ,
           2000,            157,   76.00000    ,   53.23370    ,   15.70000    ,   2.820476    ,
           2000,            158,   89.60000    ,   96.35418    ,   19.10000    ,   4.949425    ,
           2000,            159,   102.0000    ,   122.5673    ,   21.60000    ,   6.926433    ,
           2000,            160,   111.0000    ,   142.8009    ,   24.80000    ,   10.26961    ,
           2000,            161,   129.0000    ,   252.2117    ,   29.40000    ,   9.497209    ,
           2000,            162,   138.0000    ,   170.7148    ,   31.60000    ,   8.405480    ,
           2000,            163,   130.0000    ,   230.9891    ,   30.20000    ,   25.98250    ,
           2000,            164,   113.0000    ,   117.2283    ,   26.00000    ,   19.72776    ,
           2000,            165,   100.0000    ,   68.80471    ,   22.20000    ,   5.832818    ,
           2000,            166,   95.20000    ,   66.68124    ,   20.50000    ,   8.914954    ,
           2000,            167,   102.0000    ,   79.06801    ,   20.30000    ,   7.215498    ,
           2000,            168,   97.40000    ,   52.52365    ,   19.20000    ,   4.849182    ,
           2000,            169,   93.90000    ,   43.28711    ,   18.70000    ,   6.034658    ,
           2000,            170,   96.20000    ,   41.97649    ,   19.10000    ,   12.23843    ,
           2000,            171,   103.0000    ,   77.59879    ,   20.20000    ,   13.48865    ,
           2000,            172,   102.0000    ,   46.05431    ,   20.00000    ,   9.840295    ,
           2000,            173,   103.0000    ,   44.14083    ,   20.40000    ,   9.085639    ,
           2000,            174,   117.0000    ,   47.65387    ,   22.50000    ,   8.005917    ,
           2000,            175,   111.0000    ,   45.23660    ,   21.80000    ,   4.298593    ,
           2000,            176,   108.0000    ,   104.6623    ,   21.90000    ,   13.20184    ,
           2000,            177,   104.0000    ,   99.25885    ,   20.80000    ,   3.780880    ,
           2000,            178,   103.0000    ,   43.66928    ,   20.90000    ,   4.015192    ,
           2000,            179,   112.0000    ,   45.81707    ,   22.70000    ,   6.327587    ,
           2000,            180,   120.0000    ,   47.01048    ,   25.30000    ,   6.721972    ,
           2000,            181,   131.0000    ,   52.00409    ,   28.50000    ,   10.38726    ,
           2000,            182,   147.0000    ,   50.41020    ,   31.90000    ,   10.53413    ,
           2000,            183,   151.0000    ,   48.03086    ,   33.80000    ,   12.28825    ,
           2000,            184,   153.0000    ,   74.05063    ,   34.80000    ,   20.36601    ,
           2000,            185,   139.0000    ,   56.32053    ,   31.70000    ,   6.246015    ,
           2000,            186,   128.0000    ,   72.36137    ,   29.90000    ,   14.09517    ,
           2000,            187,   121.0000    ,   149.7710    ,   28.10000    ,   11.02750    ,
           2000,            188,   113.0000    ,   43.95384    ,   25.10000    ,   4.911054    ,
           2000,            189,   106.0000    ,   38.29447    ,   23.40000    ,   3.860291    ,
           2000,            190,   102.0000    ,   36.83495    ,   23.00000    ,   3.580750    ,
           2000,            191,   108.0000    ,   44.18341    ,   24.50000    ,   7.336716    ,
           2000,            192,   112.0000    ,   41.28830    ,   26.70000    ,   6.469393    ,
           2000,            193,   115.0000    ,   49.70899    ,   28.30000    ,   5.751667    ,
           2000,            194,   121.0000    ,   45.32918    ,   30.10000    ,   4.894118    ,
           2000,            195,   129.0000    ,   49.32173    ,   32.20000    ,   5.295196    ,
           2000,            196,   135.0000    ,   50.62576    ,   35.10000    ,   5.173031    ,
           2000,            197,   141.0000    ,   99.59940    ,   38.00000    ,   16.11277    ,
           2000,            198,   130.0000    ,   109.9403    ,   33.80000    ,   7.545301    ,
           2000,            199,   118.0000    ,   53.45926    ,   30.70000    ,   6.118567    ,
           2000,            200,   112.0000    ,   50.30573    ,   29.10000    ,   5.011941    ,
           2000,            201,   111.0000    ,   49.84204    ,   29.70000    ,   4.970314    ,
           2000,            202,   117.0000    ,   52.71726    ,   32.30000    ,   5.057855    ,
           2000,            203,   123.0000    ,   52.85736    ,   34.50000    ,   5.453644    ,
           2000,            204,   124.0000    ,   57.21667    ,   35.70000    ,   6.470558    ,
           2000,            205,   125.0000    ,   58.50682    ,   37.70000    ,   6.927622    ,
           2000,            206,   126.0000    ,   77.04997    ,   38.70000    ,   6.695040    ,
           2000,            207,   122.0000    ,   43.74864    ,   37.10000    ,   7.061266    ,
           2000,            208,   119.0000    ,   87.12868    ,   35.90000    ,   10.60738    ,
           2000,            209,   113.0000    ,   55.97914    ,   33.60000    ,   5.976810    ,
           2000,            210,   106.0000    ,   47.46364    ,   31.90000    ,   5.422153    ,
           2000,            211,   109.0000    ,   48.06950    ,   34.50000    ,   6.658484    ,
           2000,            212,   110.0000    ,   53.48774    ,   34.60000    ,   6.248869    ,
           2000,            213,   105.0000    ,   55.74725    ,   33.80000    ,   6.447876    ,
           2000,            214,   108.0000    ,   58.05753    ,   34.60000    ,   6.558665    ,
           2000,            215,   106.0000    ,   54.04556    ,   33.30000    ,   5.389727    ,
           2000,            216,   99.60000    ,   51.12096    ,   31.10000    ,   4.723794    ,
           2000,            217,   100.0000    ,   61.56926    ,   29.60000    ,   5.604497    ,
           2000,            218,   99.70000    ,   69.21319    ,   29.30000    ,   4.576319    ,
           2000,            219,   96.10000    ,   45.96445    ,   30.10000    ,   4.567273    ,
           2000,            220,   97.50000    ,   72.46024    ,   30.40000    ,   7.077126    ,
           2000,            221,   91.30000    ,   47.97264    ,   28.20000    ,   5.093227    ,
           2000,            222,   86.40000    ,   49.20066    ,   27.30000    ,   5.769842    ,
