p[[1]],majority,minority,frac_1,frac_2,frac_5,frac_6,frac_8,frac_10,frac_11,frac_12,frac_14,frac_16,frac_17,frac_18,frac_19
71028597,1,14,0.430639863014221,0.054543174803257,0.00755812181159854,0.0101216407492757,0.0287871155887842,0.238109305500984,0,0,0.000839791318867356,0.093155562877655,0.0520756579935551,0.0841697230935097,0
71028609,1,14,0.663766741752625,0.0493241623044014,0.000816983636468649,0.00621372787281871,0.00786836724728346,0.0472949706017971,0,0,0.000528636504895985,0.193887174129486,0.00541684590280056,0.0248824208974838,0
71028676,1,12,0.564416527748108,0.0494408011436462,0.00220269430428743,0.00622279802337289,0.0239060930907726,0.104330159723759,0,9.73980422713794e-05,0.00059501564828679,0.219290688633919,0.0156286917626858,0.0134721286594868,0.000397010328015313
71028700,1,14,0.831512093544006,0.0162830445915461,0,0.000646153464913368,0.00589811336249113,0.0245738159865141,0,0,0.00050256383838132,0.0611573867499828,0.039387084543705,0.0200397092849016,0
71028740,1,6,0.729750275611877,0.0144056370481849,0,0.000100660508906003,0.0122373197227716,0.0545569397509098,0,0,0.000101076191640459,0.161396205425262,0.0130708180367947,0.0138192949816585,0.000561812776140869
71028852,1,11,0.760047674179077,0.0161050781607628,0.000715208356268704,0.000913877331186086,0.0108038047328591,0.0244265794754028,0.000127148145111278,0,0.000246349547524005,0.156699597835541,0.0166473761200905,0.0114932768046856,0.00177406496368349
71028904,1,5,0.859715282917023,0.0150271654129028,0.000313713448122144,0.00032326893415302,0.0108105484396219,0.00976747553795576,0,0.000627426896244287,0.000407827465096489,0.0782881304621696,0.0143524492159486,0.00819065608084202,0.00217604916542768
71028957,1,12,0.865697205066681,0.013515267521143,0,0.000331717601511627,0.0120164714753628,0.0343921557068825,0,9.28715817281045e-05,0.000248119700700045,0.037649679929018,0.0226291958242655,0.0131512871012092,0.000276064267382026
71028974,1,12,0.762266457080841,0.0245199408382177,0,0.00142719899304211,0.0224111191928387,0.123000986874104,0,0.000386148312827572,0.000514864397700876,0.0416910126805305,0.0195673033595085,0.0042149699293077,0
71029016,1,2,0.848492920398712,0.0014124633744359,0,0,0.00247474364005029,0.00505708483979106,0,0,0,0.00286045321263373,0.12502883374691,0.0146735096350312,0
71029071,1,16,0.88342946767807,0,0,0,0.00593242840841413,0.00763142528012395,0,0,0,0.00557833444327116,0.0801746100187302,0.017253715544939,0
71029528,1,12,0.744143426418304,0.0133188040927052,0.00065215298673138,0.00455455202609301,0.0224743168801069,0.0716382637619972,0,0.000280569394817576,0.000746820354834199,0.104591682553291,0.00641491077840328,0.0168405864387751,0.0143438577651978
71029778,1,6,0.496894776821136,0.0134628303349018,0,0.000352077709976584,0.0158379282802343,0.0234060771763325,0.000541658024303615,0,0.00119164760690182,0.370917499065399,0.00598718924447894,0.00713818240910769,0.0642701163887978
71029798,1,8,0.902370750904083,0.0121719567105174,0,0,0.00295877223834395,0.00295984162949026,0,0,0,0.0566234849393368,0.0132195493206382,0.00969572272151709,0
71029857,1,5,0.592760503292084,0.0234151240438223,0.000803131842985749,0.00318569573573768,0.0290436428040266,0.102586336433887,0,0,0.00150587223470211,0.142794355750084,0.0924075618386269,0.00992491375654936,0.0015727998688817
71029963,1,14,0.682515382766724,0.0381812900304794,0,0.00748043088242412,0.0131318252533674,0.0627165511250496,0,0,0.000371193804312497,0.195603355765343,0,0,0
71029992,1,12,0.604132473468781,0.0191607810556889,0.00171926955226809,0.00192942330613732,0.055985052138567,0.092020608484745,0,0.00139915442559868,0.00464426074177027,0.203261628746986,0.00460280478000641,0.00630770996212959,0.00483682891353965
71030071,1,6,0.675270974636078,0.050857275724411,0,0.000785468379035592,0.0124202547594905,0.0417798012495041,0,0,0,0.217764109373093,0,0,0.00112209771759808
71030100,1,12,0.528107225894928,0.0539283528923988,0.000594204058870673,0.000822744099423289,0.0243623666465282,0.101313211023808,0.000290933239739388,0.000228540026000701,0,0.288244307041168,0.0003711863537319,0.000822744099423289,0.000914160104002804
