,subbasin,gru,seg_id,GRU,LandUse,Ala_GRU,Cooper_GRU,difference
0,120,0,78000097,,Temperate/sub-polar needleleaf forest,0.48,0.493704825639725,0.013704825639725027
1,1092,0,78000415,,Temperate/sub-polar needleleaf forest,0.9,0.936463177204132,0.03646317720413195
2,1741,10,78001464,,Barren Lands,0.73,0.742880940437317,0.012880940437317023
3,2070,2,78002336,,Temperate/sub-polar broadleaf deciduous forest,0.16,0.175721243023872,0.015721243023871984
4,2077,2,78002483,,Temperate/sub-polar broadleaf deciduous forest,0.11,0.128775879740715,0.018775879740715
5,2077,10,78002483,,Barren Lands,0.31,0.335386037826538,0.025386037826537977
6,2653,4,78004224,,Temperate/sub-polar shrubland,0.29,0.300223261117935,0.010223261117935034
7,2755,3,78004098,,Mixed Forest,0.0,0.0160607397556305,0.0160607397556305
8,2755,12,78004098,,Water,0.9,0.910622715950012,0.010622715950011963
9,3022,0,78003096,,Temperate/sub-polar needleleaf forest,0.75,0.765915930271149,0.015915930271149015
10,3122,12,78003126,,Water,0.09,0.11067533493042,0.02067533493042001
11,3292,12,78003966,,Water,0.55,0.561755836009979,0.011755836009978982
12,4415,3,78007331,,Mixed Forest,0.08,0.0985882580280304,0.018588258028030394
13,4461,3,78005652,,Mixed Forest,0.05,0.0635181739926338,0.013518173992633803
14,4471,3,78006898,,Mixed Forest,0.17,0.182485476136208,0.012485476136207985
15,6365,0,78004469,,Temperate/sub-polar needleleaf forest,0.5,0.634725689888,0.13472568988800004
16,6371,0,78005855,,Temperate/sub-polar needleleaf forest,0.91,0.928283274173737,0.018283274173736985
17,6437,2,78005839,,Temperate/sub-polar broadleaf deciduous forest,0.14,0.156568095088005,0.016568095088004997
18,6448,0,78004462,,Temperate/sub-polar needleleaf forest,0.91,0.921623289585114,0.011623289585113938
19,6685,2,78005467,,Temperate/sub-polar broadleaf deciduous forest,0.19,0.215407952666283,0.025407952666282985
20,6805,2,78005445,,Temperate/sub-polar broadleaf deciduous forest,0.4,0.439509153366089,0.039509153366088956
21,7185,0,78005484,,Temperate/sub-polar needleleaf forest,0.53,0.543634295463562,0.013634295463561985
22,7347,0,78006861,,Temperate/sub-polar needleleaf forest,0.67,0.6882084608078,0.01820846080779992
23,7434,0,78010826,,Temperate/sub-polar needleleaf forest,0.68,0.704120993614197,0.02412099361419695
24,7836,10,78010606,,Barren Lands,0.24,0.252600789070129,0.012600789070129015
25,8607,12,78006776,,Water,0.18,0.191903054714203,0.011903054714202999
26,9280,9,78010281,,Cropland,0.69,0.707038640975952,0.01703864097595209
27,9757,3,78010655,,Mixed Forest,0.08,0.107481837272644,0.027481837272644
28,9757,11,78010655,,Urban-Built-up,0.17,0.185279101133347,0.01527910113334699
29,9809,5,78010015,,Temperate/sub-polar grassland,0.52,0.533634126186371,0.013634126186370943
30,10125,2,78012042,,Temperate/sub-polar broadleaf deciduous forest,0.43,0.440501093864441,0.01050109386444098
31,10778,12,78013993,,Water,0.17,0.180100634694099,0.010100634694098998
32,11272,0,78020700,,Temperate/sub-polar needleleaf forest,0.3,0.345162659883499,0.04516265988349899
33,11272,5,78020700,,Temperate/sub-polar grassland,0.05,0.0791563987731934,0.029156398773193398
34,11397,4,78020330,,Temperate/sub-polar shrubland,0.3,0.311341941356659,0.011341941356659002
35,11397,8,78020330,,Wetland,0.02,0.045510072261095,0.025510072261094998
36,11465,0,78010504,,Temperate/sub-polar needleleaf forest,0.88,0.890874207019806,0.010874207019806015
37,11475,12,78012386,,Water,0.09,0.105981893837452,0.015981893837452008
38,12006,4,78017490,,Temperate/sub-polar shrubland,0.11,0.124789260327816,0.014789260327815995
39,12006,12,78017490,,Water,0.08,0.103128463029861,0.023128463029861004
40,12259,12,78008792,,Water,0.4,0.4505375623703,0.05053756237029999
41,12656,12,78013779,,Water,0.31,0.327260553836823,0.01726055383682301
42,12793,0,78006894,,Temperate/sub-polar needleleaf forest,0.3,0.32483845949173,0.024838459491730025
43,13197,0,78017469,,Temperate/sub-polar needleleaf forest,0.3,0.310544818639755,0.010544818639755038
44,13843,12,78015522,,Water,0.25,0.266746580600739,0.016746580600739025
45,14737,0,78015497,,Temperate/sub-polar needleleaf forest,0.32,0.338919967412949,0.01891996741294899
46,14743,8,78026680,,Wetland,0.09,0.105405181646347,0.015405181646347008
47,15015,11,78026665,,Urban-Built-up,0.03,0.0519520118832588,0.0219520118832588
48,15079,0,78010446,,Temperate/sub-polar needleleaf forest,0.3,0.326779216527939,0.02677921652793902
49,15446,4,78025050,,Temperate/sub-polar shrubland,0.55,0.579096078872681,0.029096078872680953
50,15874,0,78010577,,Temperate/sub-polar needleleaf forest,0.77,0.780862390995026,0.01086239099502595
51,16280,0,78010308,,Temperate/sub-polar needleleaf forest,0.92,0.974982619285583,0.05498261928558301
52,16582,0,78015618,,Temperate/sub-polar needleleaf forest,0.77,0.780880212783813,0.010880212783813015
53,16798,11,78022249,,Urban-Built-up,0.01,0.0201821755617857,0.010182175561785701
54,17056,0,78015611,,Temperate/sub-polar needleleaf forest,0.6,0.618567228317261,0.018567228317260986
55,18262,0,78014405,,Temperate/sub-polar needleleaf forest,0.71,0.745819985866547,0.035819985866547
56,18548,4,78024028,,Temperate/sub-polar shrubland,0.64,0.671455264091492,0.03145526409149202
57,19288,9,78025210,,Cropland,0.31,0.327460795640945,0.017460795640944993
58,19327,0,78019826,,Temperate/sub-polar needleleaf forest,0.15,0.171272739768028,0.021272739768028015
59,19327,5,78019826,,Temperate/sub-polar grassland,0.31,0.359903544187546,0.049903544187546
60,19708,9,78024855,,Cropland,0.93,0.940186977386475,0.010186977386475005
61,19807,4,78022574,,Temperate/sub-polar shrubland,0.18,0.229691833257675,0.04969183325767501
62,19919,0,78019816,,Temperate/sub-polar needleleaf forest,0.8,0.825404465198517,0.025404465198516912
63,20001,11,78022477,,Urban-Built-up,0.14,0.151712119579315,0.011712119579314978
64,20311,9,78024225,,Cropland,0.68,0.691033244132996,0.011033244132996
65,20777,0,78020311,,Temperate/sub-polar needleleaf forest,0.0,0.0139813618734479,0.0139813618734479
66,20777,11,78020311,,Urban-Built-up,0.17,0.203346028923988,0.033346028923988
67,20937,8,78018034,,Wetland,0.29,0.413640826940536,0.12364082694053602
68,21254,0,78017716,,Temperate/sub-polar needleleaf forest,0.78,0.790468215942383,0.010468215942383008
69,21832,4,78020544,,Temperate/sub-polar shrubland,0.48,0.517681837081909,0.037681837081908975
70,22145,0,78016103,,Temperate/sub-polar needleleaf forest,0.47,0.511366605758667,0.04136660575866702
71,22410,4,78024577,,Temperate/sub-polar shrubland,0.64,0.669919371604919,0.029919371604918976
72,22880,9,78021905,,Cropland,0.43,0.461522459983826,0.03152245998382602
73,24035,9,78020130,,Cropland,0.54,0.550653874874115,0.010653874874114955
74,25015,11,78020467,,Urban-Built-up,0.06,0.0748284310102463,0.014828431010246307
75,25175,9,78020446,,Cropland,0.56,0.570148885250092,0.010148885250091944
76,26049,4,78022531,,Temperate/sub-polar shrubland,0.11,0.130703195929527,0.020703195929527005
77,26049,9,78022531,,Cropland,0.09,0.108526341617107,0.018526341617107006
78,26143,9,78025048,,Cropland,0.13,0.143273010849953,0.013273010849952999
79,26261,9,78024222,,Cropland,0.62,0.636327266693115,0.016327266693115017
80,26279,4,78022407,,Temperate/sub-polar shrubland,0.36,0.42050901055336,0.06050901055336
81,26279,11,78022407,,Urban-Built-up,0.14,0.178619563579559,0.03861956357955898
